L,r,sij_mean,sij_se,sij_snr,dij_c_mean,dij_c_se,dij_c_snr,ddij_mean,ddij_se,ddij_snr
12,2,0.0,0.0,NaN,0.011079375000002806,4.106186096980746e-5,269.82155066350754,0.05759268334967982,0.00018234695124252,315.8412189358845
12,3,-0.0444253125,0.00017363771893542547,255.85058806561167,0.0,0.0,NaN,-0.01734833227539062,0.00022819879512507064,76.02289164534102
12,4,0.0,0.0,NaN,0.0007143749999999992,1.36525634532557e-5,52.32533820083756,0.0119140226352831,0.00026674222786118184,44.66492887464149
12,5,-0.02428625,0.00015639641206802692,155.2864907759926,0.0,0.0,NaN,-0.006645129150390616,0.00027015546518071004,24.597426322453313
12,6,0.0,0.0,NaN,0.000294000000000004,1.0458811302788709e-5,28.11026908207175,0.006864433349604751,0.0002965971244959294,23.143964599356593
16,2,0.0,0.0,NaN,0.01001235576923758,3.2738014444886236e-5,305.8327127961035,0.05513683466854152,0.0001463854879964221,376.65505934501624
16,3,-0.040019375,0.00013595407020823544,294.35952111403446,0.0,0.0,NaN,-0.01637242013906251,0.000183426642241806,89.25868095802149
16,4,0.0,0.0,NaN,0.0005249999999999738,9.359749194004577e-6,56.09124658343031,0.010303119633614383,0.00020607679906728011,49.996504605307905
16,5,-0.017653500000006817,0.00010441933925992235,169.06350993146424,0.0,0.0,NaN,-0.0050354201390945125,0.00020139861759871182,25.002257707287857
16,6,0.0,0.0,NaN,0.00010375000000000022,4.637581026775851e-6,22.371576776983996,0.003667267360937504,0.00022231473762020774,16.49583558964271
16,7,-0.0129534375,0.00010230365040385801,126.61754931387578,0.0,0.0,NaN,-0.0022274201390625192,0.00022995285924503494,9.68642071412127
16,8,0.0,0.0,NaN,5.651785714285729e-5,3.886762164338712e-6,14.541115394559563,0.0024186959323433538,0.00024312709314897098,9.948278083764812
20,2,0.0,0.0,NaN,0.009589080882358877,2.8078524163207024e-5,341.5094335664559,0.05431141456395577,0.00012597240113149753,431.1374084809439
20,3,-0.03836671875,0.00011546009865908356,332.29417950944725,0.0,0.0,NaN,-0.016335242145576412,0.00016009951215932897,102.0318046273607
20,4,0.0,0.0,NaN,0.0004762500000000224,7.63511246311567e-6,62.376291416888755,0.009953546916937117,0.00017558367624225183,56.68833874513633
20,5,-0.015301607142851174,8.30111549243769e-5,184.3319389639974,0.0,0.0,NaN,-0.004766274511695506,0.00016884495505610503,28.228705501516075
20,6,0.0,0.0,NaN,8.004807692307635e-5,3.3884264162298137e-6,23.623967910196825,0.00344109499387496,0.0001824166291814017,18.86393257740231
20,7,-0.009735,7.265075210428185e-5,133.9972363400522,0.0,0.0,NaN,-0.0022475468330764165,0.00018440346706496987,12.188202688643324
20,8,0.0,0.0,NaN,1.9772727272727304e-5,1.8347957098773643e-6,10.776527962368569,0.001963831007776695,0.00019746479450500666,9.945220932670622
20,9,-0.008145000000001287,7.379291432070201e-5,110.37645111295289,0.0,0.0,NaN,-0.0013746405831146918,0.0002047701050088836,6.713092143284565
20,10,0.0,0.0,NaN,1.4374999999999992e-5,1.7299581463054364e-6,8.309449584488377,0.0012622969169235748,0.00021290731252237834,5.928856561894261
24,2,0.0,0.0,NaN,0.009418482142849807,2.5000432448030972e-5,376.73276902022565,0.05398690837231428,0.00011182191075769666,482.79364935282484
24,3,-0.03769237499996295,0.00010238469304485527,368.1446305987334,0.0,0.0,NaN,-0.016351944306246494,0.00014319876135462768,114.19054293180209
24,4,0.0,0.0,NaN,0.00044407894736838197,6.554551564168021e-6,67.75123256273437,0.009936330364733723,0.00015501776317577054,64.09801148702668
24,5,-0.014139583333335681,7.058958645617086e-5,200.30692972135432,0.0,0.0,NaN,-0.004776038056250015,0.00014843175775901407,32.176659013929736
24,6,0.0,0.0,NaN,6.661764705882319e-5,2.7114365531045644e-6,24.56913365077517,0.003111278120150718,0.00015901690521253129,19.565706652336072
24,7,-0.00826640625,5.8447736611790706e-5,141.43244425195434,0.0,0.0,NaN,-0.0018518193062500021,0.00015838861081209603,11.691619092782522
24,8,0.0,0.0,NaN,1.7374999999999958e-5,1.4727110315767405e-6,11.797969613494116,0.0013953369437672558,0.00016712212499021928,8.349205372112861
24,9,-0.006216428571429409,5.4531334344936974e-5,113.99736768052479,0.0,0.0,NaN,-0.0010070648420001937,0.00017078907671308277,5.8965412857873405
