L,W,r,num_samples,ss_mean,ss_se,ss_snr,dd_c_mean,dd_c_se,dd_c_snr,dd_shift_mean,dd_shift_se,dd_shift_snr
10,2.0,1,100,-0.4350997318484736,0.002335251619517,186.31813728854135,-0.1333576898165256,0.0028687066498708,46.4870431497524,-0.1893063232545533,0.0020328071708338,93.12556841134078
10,2.0,2,100,0.1378506195936963,0.0025874802567103,53.27600828496941,0.0388128058373137,0.0013288806207896,29.2071426357694,0.0637221884236953,0.0021274051242845,29.953010687197786
10,2.0,3,100,-0.1253162611366548,0.0032152358821586,38.97575970460952,-0.0090439317222698,0.0006133906144604,14.74416384773902,-0.0382975682203431,0.0037583827252412,10.18990640924806
10,2.0,4,100,0.0675873656309777,0.0027905105293633,24.220430247363304,0.0063146113832453,0.0005228861322106,12.0764560279099,0.0213756905182853,0.0043848832087624,4.874859717031815
10,2.0,5,100,-0.0815114172457561,0.0040952058740981,19.90410732737755,-0.0022264586936974,0.0002476591346204,8.990012410040919,-0.0147250862219605,0.0050976262366328,2.8886162967661746
12,2.0,1,100,-0.4298546896641101,0.0020371261348599,211.01034555902163,-0.1317135601397918,0.0025280460413704,52.10093407491594,-0.1847709043433491,0.0017517084880875,105.48039562511792
12,2.0,2,100,0.1360092604360306,0.0022716102214241,59.87350257244401,0.0364546057553099,0.0012122309253712,30.072327798554166,0.0613979928935299,0.0017029086704123,36.0547773114937
12,2.0,3,100,-0.1189613867085514,0.0030299977267812,39.26121318741863,-0.0085907993362851,0.000510464522465,16.829375908044113,-0.0359375361795421,0.0028625209738626,12.55450580368978
12,2.0,4,100,0.0635182012460048,0.0023972699221038,26.49605731100223,0.0054478442612146,0.0004185362708243,13.016420895814887,0.0172975819727261,0.0036272872206997,4.768737880478362
12,2.0,5,100,-0.0694883822099429,0.0031482046165752,22.07238431837872,-0.0021080082194229,0.0002117516083613,9.955098975332351,-0.0138427433176871,0.0044097268030178,3.139138530807306
12,2.0,6,100,0.0438149093710349,0.0025902842805865,16.91509680980391,0.0016699359929936,0.0002162464208425,7.722375179609741,0.0131212312732422,0.0045665049830742,2.873364054539779
14,2.0,1,100,-0.4264293642989469,0.0018195822109332,234.3556458931458,-0.1317995800939919,0.0024480010321962,53.83967504937996,-0.1818386918565391,0.0015520813532548,117.15796435232213
14,2.0,2,100,0.1357682960042363,0.0021683652137924,62.613205165185526,0.035926423509965,0.0011672508732076,30.778664925079315,0.0613981181443158,0.0014180036282911,43.29898522072812
14,2.0,3,100,-0.1164567058484335,0.0028308756072558,41.138051262281415,-0.0087754874528442,0.00051035778755,17.194775247715988,-0.0357165598721851,0.002311739718296,15.450078393129813
14,2.0,4,100,0.0626034450176625,0.0023186311129718,27.00017465797877,0.0053326229313952,0.000390919165864,13.641241967780877,0.0177734025166758,0.002829626874459,6.281182397970364
14,2.0,5,100,-0.0642078278462197,0.0028264814878454,22.716521626739045,-0.0021296471828527,0.0002074746483314,10.26461401419104,-0.0152573842639763,0.0033191769851537,4.596737182807798
14,2.0,6,100,0.0406464092682051,0.0021540801756835,18.86949693286426,0.0015077599427163,0.0001856480631974,8.12160340780227,0.0101943728511714,0.00387751463691,2.6290997728625585
14,2.0,7,100,-0.0471742959176658,0.0028909611691719,16.3178587179632,-0.0007098005616463,0.0001122020520653,6.326092514179591,-0.0099666654294837,0.0040686020049549,2.449653570770942
16,2.0,1,100,-0.4244078381576414,0.0016215229851422,261.7340870566796,-0.1300897674631203,0.0024645274110363,52.784873432759895,-0.1801193837551452,0.0013765683830431,130.84666622733428
16,2.0,2,100,0.1337636606734732,0.0021735797030526,61.540720354357504,0.0349003062134765,0.0011420565358193,30.55917559145941,0.0601844024250991,0.0013415499310346,44.8618430315753
16,2.0,3,100,-0.1129523983400715,0.0027065822868659,41.73248265467109,-0.0085596574873321,0.0004743476294697,18.045114923207056,-0.0339110133779071,0.0021951686767248,15.448021711252704
16,2.0,4,100,0.0610476961827368,0.0022230746339669,27.46092967369266,0.0049796276710592,0.0003427643379857,14.527846450775776,0.0174918581272869,0.0026223806591924,6.670220841498024
16,2.0,5,100,-0.0602558128501857,0.0026700150855904,22.56759266094577,-0.0021150825262037,0.0001999279230495,10.579225222478678,-0.0161825605473829,0.0028882004318203,5.602990834394332
16,2.0,6,100,0.0392657720132691,0.002081896282675,18.860580298849253,0.0014742098046114,0.0001652048893051,8.923524060409758,0.009804964095185,0.0032666212583945,3.001561344152889
16,2.0,7,100,-0.0434777750414434,0.0025561131950183,17.00933085677808,-0.000687428819662,8.708836755556134e-05,7.893463145046645,-0.0106755018166985,0.0036076770964978,2.9591067967423563
16,2.0,8,100,0.0298785968359925,0.0019344008086534,15.44591829280297,0.0005332049366302,7.416412930454494e-05,7.189526009814184,0.0101094913115288,0.0037853702155309,2.6706743953473198
18,2.0,1,100,-0.4223632405618109,0.0014369347304671,293.933490232018,-0.1285535581054127,0.0023570653371632,54.53966679605509,-0.1783886421959172,0.0012138985356049,146.9551506683514
18,2.0,2,100,0.1322724887943713,0.0020537907133184,64.40407386040326,0.0339758232517857,0.0011131420092836,30.52245173430324,0.0602602339899494,0.0012323633041013,48.89810804119238
18,2.0,3,100,-0.1104449324023968,0.0026116414930663,42.28946916933928,-0.0083356629421549,0.0004630454604074,18.00182412936251,-0.0343909017633211,0.002129690511284,16.148309616398883
18,2.0,4,100,0.0588228679281576,0.0021468469792769,27.39965563263826,0.0047535056834429,0.0003279163617205,14.496091803718354,0.0165600273265332,0.0024775919485733,6.683920383285443
18,2.0,5,100,-0.055971413549459,0.0025099420012772,22.29988323275081,-0.0020494569485697,0.0001809090393115,11.3286597307092,-0.0144234269553935,0.0027293676394044,5.2845306536060965
18,2.0,6,100,0.0367623279435636,0.0019105919346644,19.241328970657232,0.0014352270448016,0.0001472662941144,9.745794537927852,0.0078512608705078,0.0030956198495988,2.536248393524586
18,2.0,7,100,-0.0401114590389606,0.0022640279456761,17.716856859283286,-0.0006884110771118,8.336356583816068e-05,8.257937027889104,-0.0090789430662888,0.0033904099157746,2.677830495966611
18,2.0,8,100,0.0279187330237215,0.0017500284071827,15.9533027630479,0.0005307082629499,6.825929274810486e-05,7.774886635704841,0.0068276640698425,0.0036045937411134,1.8941563350030888
18,2.0,9,100,-0.0334862389595135,0.0022647759927042,14.785673756426924,-0.0002985108495194,5.24331664942408e-05,5.693168455736723,-0.0062858265244377,0.0038846240827738,1.618129937543243
20,2.0,1,100,-0.4199331117279177,0.001303059361008,322.26706188048666,-0.1277813722817314,0.0021893119847832,58.36599496548224,-0.1763421206250899,0.0010944885642547,161.11828518295908
20,2.0,2,100,0.1313532018840397,0.0018997381283063,69.1427939076772,0.0336123142472955,0.0010336287702084,32.51874871915359,0.0606608045467793,0.0011711530706958,51.79579515659518
20,2.0,3,100,-0.1088220624511061,0.0023817584327507,45.68979832494039,-0.0084677211707634,0.0004404906536015,19.223384427182683,-0.0343729235165905,0.002024179069889,16.98116734231163
20,2.0,4,100,0.0580590602937106,0.0019927561403539,29.135055272441708,0.004831629840914,0.0003212736039775,15.038987894107905,0.0172142539862903,0.0022859625341423,7.530418250161123
20,2.0,5,100,-0.0550610269078068,0.0023582174658885,23.348579045088652,-0.00210487393584,0.0001828908745078,11.50890628908519,-0.0156317051101367,0.0025175932513906,6.208987532637526
20,2.0,6,100,0.0352395514268276,0.0018125431774667,19.44204798259159,0.0015078824559295,0.0001520388319607,9.9177455948794,0.0071163222277626,0.0028579602368771,2.4900004331545667
20,2.0,7,100,-0.0372804704211712,0.0020910003825487,17.829011765043294,-0.0007409861950049,8.873545772221925e-05,8.350508511767178,-0.007517185565274,0.0030627588335235,2.454383767665424
20,2.0,8,100,0.0263430268693815,0.0016486455397356,15.978587412795434,0.0005893249840664,7.807411071866233e-05,7.548276613614458,0.0047320892325368,0.003264236785729,1.4496770740484293
20,2.0,9,100,-0.0304572737467892,0.0019511299142471,15.610069593208758,-0.00033347437756,5.82287029743317e-05,5.726975881757741,-0.0049709455343771,0.0035057212212608,1.4179523186927472
20,2.0,10,100,0.0224850255428836,0.001646394862453,13.657128101931692,0.0002563579236238,4.595597798579831e-05,5.578336809698235,0.0042880843771761,0.0036169108491017,1.185565405418041
22,2.0,1,100,-0.4181941718281809,0.0013472254544981,310.4114240358913,-0.1264429109907611,0.0020862487064667,60.60778400908125,-0.1748845577825411,0.0011269143060315,155.18887003786872
22,2.0,2,100,0.1300150770988025,0.0018249916284352,71.2414649322389,0.0329674504562691,0.0009265674441937,35.58019512001688,0.0608754705363903,0.0011492455785793,52.96994103875046
22,2.0,3,100,-0.1070261660557622,0.0021332484692373,50.17051112382861,-0.008278161883449,0.0004078104964824,20.299040742826364,-0.033881667730006,0.001974484586182,17.15975296394718
22,2.0,4,100,0.0567405430749818,0.0018331367122977,30.95270674267365,0.0046503070542831,0.0002841898737006,16.36338055866545,0.0185762812978139,0.0021524084658079,8.630462847970936
22,2.0,5,100,-0.0528319469776034,0.0020910765231582,25.265429740375016,-0.0020353330192287,0.0001691059092714,12.035847996075306,-0.0167160290365414,0.0023348931706925,7.159226488971741
22,2.0,6,100,0.0335138570237879,0.0016266399809347,20.60311895477292,0.0014490011916787,0.000140576638796,10.307553261260288,0.0087584529195495,0.002600251776229,3.368309561257718
22,2.0,7,100,-0.0352113686943951,0.0019249490712439,18.292104045974195,-0.0007136244219211,8.658308152652114e-05,8.242076966301163,-0.0098297609850275,0.002837888563084,3.4637586242446288
22,2.0,8,100,0.0244712718738959,0.0015234279325864,16.063294725303255,0.000565138600686,7.839880582420565e-05,7.208510317788583,0.0047341883511723,0.0030699559956512,1.5421030001337246
22,2.0,9,100,-0.0274275117189209,0.0018099221194046,15.153973436129286,-0.0003167403461334,5.2969665246892296e-05,5.979655424611115,-0.0051942226426456,0.0031886618969844,1.6289662593446934
22,2.0,10,100,0.0201936475207061,0.0014912811137777,13.541140791055067,0.0002406430784927,4.066060115613412e-05,5.918335480792943,0.0036835818311771,0.0033660054791656,1.0943481387588885
22,2.0,11,100,-0.0249792335482278,0.0019166521647166,13.03274219916708,-0.0001484785185385,2.8656962536464597e-05,5.181237137384888,-0.002782806007693,0.003420883111059,0.8134759117307435
24,2.0,1,50,-0.4178206913670582,0.0017785137152929,234.92688741972432,-0.1275426277705679,0.0029028766846775,43.93663307979492,-0.1748792234422446,0.0014409471036233,121.36408269429494
24,2.0,2,50,0.1304267797736483,0.0025380003566025,51.38958291883116,0.0336277407764459,0.0012474456732188,26.9572787804664,0.0596716234516552,0.0014923062318153,39.98617856005864
24,2.0,3,50,-0.1079504801705053,0.0028688660954292,37.62827423088629,-0.0084756294564944,0.0005717924151957,14.82291340571971,-0.0323674912865554,0.0023958626357102,13.50974417486186
24,2.0,4,50,0.0578079925021012,0.0025689867658855,22.50225391183509,0.0048497665599467,0.0003980356257066,12.184252480758104,0.0169619479768336,0.0024635267039578,6.885230003629875
